Comments,Type
វីដេអូ ពេញចឹងមកគេយល់ច្រើនហើយ អញ្ចឹងហើយគេមិនយល់ច្រឡំជេ,0
៣៣៥៥ឆ្កែបើកឡាន,1
ឡានថោកហេីយចរិកអ្នកបេីកថោកទៀត GS,1
នេះជាខួររបស់តួចឹត្តអាក្រក,1
មុខពេទ្យកាល់ម៉ែត្រ,0
ចុះលេាកមិនសម្រាយចឹងតាំងពីដេីមមក យកVDOមួយផ្នែកមកត្រូវដល់អ្នកមេីលរួមទាំងខ្ញុំគ្នាយល់ច្រឡំតាំងខឹងគេ,0
ញុមចង់ជេវាថាអាចុយម្រាយតែខ្លាចវាខឹងចឹងអត់ជេវិញ,1
ខ្ញុំមើលរូបដូចជាមិនសូវអីទេណាស់តើអ្នកអីយាយចង់តែអស់សំណើច,0
អ្នកជេរគេនិងទូលរែកយកទៅ​ អាណិតតួរអង្គឯកណាស់,0
សម្រាយហើយស៊ែរអោយវាមើលផង,0
ប៉ះញុមវិញឡានសួរម៉ង,1
រឿងពិត ឬ រឿង pranks ស្រុកយើងសំបូររឿងចង់បាន view,0
និយាយអធិប្បាយបានល្អណាស់បង។មិនមែនរឿងបណ្ឌិតទេរឿងមែនទែន។,0
គេអាងមានខ្នាយដឹង,0
ត្រូវលូវហើយ,0
សង្គមតែស្ក,0
គេមានលុយបង,0
ឡាននឹងមនុស្សបេីកមែន.?,1
មកពីអូនផុសទី1 ចង់អោយគេជេរ ផុសទី2អូនចង់ធ្វើតួរឯកវិញចប់ទ,0
ប៉ះចំអ្នកកាន់សិល បើប៉ះខ្ញុំវិញ ខ្ញុំអោយវាទៅដាំស្ពៃនៅPC សុីបាយក្រហម,1
បើកកញ្ចក់ស្ដោះទឹកមាត់ដាក់ក្បាលវាមួយ,1
អាមុខនឹង,1
ឆ្កែនាក់បើកនិង,1
ទប់សេីចមិនបាន,0
មកសម្រាយមកដៀលនាក់ខមិន,0
ក្តាន់ពីស្អីនៅមុខពេទ្យកាល់ម៉ែត្រ បើមិនដឹងចេះតែនិយាយហើយប្រូ,0
បងឆ្កែចេះបើកឡានញុមមិនដែលឃើញទេ…,1
ល្អបង,0
អាអ្នកខមមិននឹងអាចុយម្នាត៊យ,1
អាឆ្កួតបេីលឡានអត់ចូលសាលាអញ្ចឹង,1
អ្នកខំមិនហ្នឹងមើលវីដេអូអត់ចប់,0
ឃើញឲ្យជាក់សឹងញាក់ចិញ្ចើម,0
ចង់ជេអាឡាន 2T 3355 នឹងថាអាឆ្កែតែខ្ញុំដូចជាក្រែងចិត្តបន្តិច🙂‍↔️,1
មានឡានជិះហើយនៅថោកទាប,1
អាខ្មៅហ្នឹងខូចមង់,0
អានេះវាមិនដែលឃើញសន្ទះក្បាលជាប់ក្រចក់ឡានវាដឺតែចឹង,1
ខ្ញុំមើលវីដេអូម្ដងៗមិនថាវីដេអូពេលណាទេដល់ផ្ទះភ្នែកហ្នឹងអាអញ្ចឹងៗម៉ងសំណាងអត់ប៉ះខ្ញុំប៉ះខ្ញុំបុកហ្អែងថែមអីបោះលុយកណ្តាលមុខបណ្តោយ។,1
បើសិបខ្ញុំមានឡាន ប៉ះខ្ញុំវិញបុកហើយគ្មានទុកទេ,1
មើលម៉េចឃើញនៅក្ដាន់ពីរ នៅមុខពេទ្យកាល់ម៉ែត្រឱ្យច្បាស់,0
អ្នកមើល vdo មុនមួយចំនួន..,0
មានវីឌីអូដើមទេបង,0
ម៉ាអាឆ្កែ,1
ខ្ញុំគ្រាន់តែមើលតាមវីដេអូបោកទូរសព្ទខូចអស់មួយហើយ សូមសរសើរចិត្តតួឯកយើងមែន,0
សំណាងហើយឡានតូចដូចគ្នាប៉ះឡានអញវិញ,1
បើកដូចអត់បានរៀនបើកបរ,0
មិនវារៀនបើកបរនៅសាលាណាទេ,0
កាលឆ្នាំ2022ខែ9 ឡាន2t 3355និងក៍បិះត្រូវជុំក្រឡង់របស់មេខ្ញុំដែរ នៅគល់ស្ពានផ្សារដីហុយ ហេតុការដូចគ្នាចឹងដែរ ប៉ុន្តែខ្លាំបានតែចឹងទេ ពេលឃេីញជុំក្រឡង់ រត់លឿនចុយម្រាយ,1
មានអ្នកណាបើកឡានឡប់ដូចវាហ្នឹងទេមានតែវាទេពឡប់តែមួយហ្នឹងមើលទៅ។,1
សុំទោសម្ចាស់ផេកសុំផ្ញើរខមមិនមួយផង,0
បានតែបែកកញ្ចក់តើចឹងអី,0
ឆ្កែបើកឡានតាបង,1
ឡានថ្លៃ តែចង្រៃឆ្កែអ្នកបើក,1
មិនចេះទេបងតែធ្វើដូចចេះណាស់។,0
ការដួយម៉ែអាចុយម្រាយ បើកឡានដូចអាចម៏អាចុយម្រាយ ឡានល្អណាស់តែម្ចាស់អន់ជាងឆ្កែទៅទៀត អាចុយម្រាយ,1
អាអ្នកខំមិនប្រហែលជាមិនដែលធ្លាប់រៀនច្បាប់ចរាចរទេ,0
មិនសំសោះ,0
មិនមែនមនុស្យបើកទេគឺសត្វឆ្កែបើកទេប្រូអាឡានមុខនឹង,1
ពួកអាថោកតែប៉ុណ្ណឹង។,1
ប៉ះខ្ញុំបុកអោយជាប់ឃឿនតាម៉ង,1
ឈប់ផ្ទះក្បាលមក,1
អាចុយម្រាយ,1
ពួកតែៗស្ករៗចឹងហើយបង,0
មែនតើបងមិនដឹងរឿងទេតែធ្វើចេះ,0
មេនមនុស្សបើកទេបងស៊ែលឆ្កែហើយមេនឆ្កែធម្មតាទៀតឆ្កែបែកថ្នាំតាមការគិតរបស់ខ្ញុំយល់ឃើញ,1
ចង់តែជេរអាឆ្កែម៉ាម៉ាត់ទេតែខ្លាចវាជេរវិញ,1
ខ្ញុំមិនបានជេរទេព្រោះមេីលវីដេអូពេញមុនបង,0
ពាក្យចុងក្រោយជាតិម៉ង,0
ប៉ះអូនអី លេងគ្នាហើយ,0
ចំណងជើងរឿង អាជើងខមិន,0
សម្រាយឡើងដូចគេអានរឿងនិទានហើយនិង នៅមានអ្នកមិនយល់ទៀតហី,0
អាស្លាប់ និយាយពត៌មាន ដូចជាលោកសូត្តធម៌ អញកោតតែអ្នកណាឲ្យអាឡប់នេះធ្វើជាអ្នកសូត្រធម៌ពត៌មានទៅកើត។,1
ល្អណាស់បង,0
អាឈ្លើយ សន្សំរឿង បើប៉ះឡានអញ ហែងស្ពៃហើយ,1
ហ្នឹងហើយខ្ញុំថាឡានខាងមុខប្រហែលជាខ្វះលុយបង់ធានាគារបានជាចង់បង្ករឿងហ្នឹងបង។,0
ចុះបុកវាអោយចុយម្រាយទៅ ជាន់កថែម,1
ចាប់មកអាក្ដ,1
បើកបរកូរសាហាវ,0
ឆ្កែអ្នកបើកហើយកងចរអ្នកខំមិន..,1
សំរាយបានល្អប្អូន,0
មិនមែនមនុស្សបេីកណាឆ្កែបេីកតេី,1
ឡានថ្លៃតែម្ចាស់ថោក,1
ឡានថ្លៃ តែអ្នកជិះថោក,1
ប៉ះពូ ក្មួយស៊យហើយក្មួយ ស៊ីកណ្តាប់ថ្មហើយ,0
ឃើញការបើកបរនេះគឺអត់គោរពច្បាប់ឬមិនចេះច្បាប់តែម្តង,0
ចង់ឲជិះជួបលោកឧកញ្ញា បានត្រូវគ្នាមនុស្សចឹង មួយគ្រាប់បែកក្បាល,1
ឡានមួយហ្នឹងបើករករឿង,0
ប៉ះខ្ញុំចិត្តជាក់ គឺ ទឹកកកម៉ាដុំធ្លុះកញ្ចក់ហើយ,1
បាញ់ចោល,1
នាក់បើកឡានទាំង២នាក់និងខ្មែរក៏សាសន៍គេបានបង្ហាញតែទង្វើនិងចរឹតអសិលធម៌ដាក់គ្នា ដូនគេថាមែនខ្មែរខ្លាំងបានតែខ្មែរគ្នាឯង អាងមានឡានបើកចរឹតនាក់ខ្លះចឹងមែនអត់ថ្លៃធ្នូសោះ អត់ចេះយោគយល់អាធ្យាស្រ័យអោយគ្នាទេចង់ឈ្នះចង់ចាញ់ គ្រាន់តែរឿងប៉ុនហ្នឹង អាពុងវ្វលៗវីវួកអូសមិនផុតពេ… See more,0
ស្ដាប់ឡើងជក,0
បើកបរបង្កររឿងបានតែចំអ្នកមែនតើ,0
ខ្ញុំបុកសិនហើយចាំដោះស្រាយ,1
គៀងអោយដល់ផ្លូវស្ងាត់បានដឹងគ្នា,0
សម្រាយរឿងមែន,0
តាំងខ្លួនជាបណ្ឌិតមែនតើ,0
ថ្លៃតែឡាន..,1
អ្នកបើកឡានGS300 និងប្រហែលជា សត្វ ដឹងបង,1
ចូលថាអោយនឹងសុតតែបងប្អូនវាទេ,0
អាអ្នកខមមិននឹងខ្វះភ្នែកតើ,1
វាចង់បង្ករឿងហើយបង។ឡានហ្នឹងនោះ,0
អ្នកខមិនសារីតែមួយទេដឹង,0
ពួកអានឹង មិចវាមិនបើកប៉ះពូកាចឧកញ៉ា ដឹងតាស្អុយជីវិតហើយអាអូន !,1
ឆ្កែបេីកGS,1
ទៅប្រកាន់វាធ្វើអី អាហ្នឹងវា មានតែក្បាលតែអត់ខួរទេ,1
សម្រាយចឹងមកបានច្បាស់,0
អាសំរឿង,0
ឆ្កែទេបើកឡានហ្នឹងនោះ,1
មានឡានថ្មីជិះហើយថោក,1
បែកកញ្ចក់ម្ដងរៀងហើយ,0
GS 300 មានជុំក្រឡង់ហើយតាមមើល,0
ស្តាយអតអតជុំក្រឡង់កុំអីបាញ់អាណឹងចោលម៉ង,1
ចុះបើដឹងថាគេចង់សន្សំរឿងចឹងហើយ ម៉េចក៏មិនព្រមបើកងាកចេញទៅរកផ្លូវផ្សេងទៀតទៅ ដឹងថាវាឆ្កួតហើយនៅចង់ឆ្កួតជាមួយវាធ្វើអី អោយវាឆ្កួតឡប់តែម្នាក់ឯងហ្នឹងទៅ,1
អានេះភ្លើៗអញ្ចឹងសមបុកវាងាប់ម្ដងមិនបានពីរាងថាអ៎គេបងអញងាប់ហើយអញត្រូវតែរាង,1
ប្រហែលជាសត្វនិងអត់រៀនច្បាប់បើកបរទេដឹង,1
ថ្ងៃក្រោយដាក់អោយពេញមកបង កុំអោយគេយល់ច្រលំទៀត,0
ជូនពរឱ្យបងឆាប់ជាពីជំងឺGS,0
បានមួយសាច់រឿង,0
អត់ទាន់បានជេរទាំងតួរឯកនិងតួរចិត្តអាក្រក់ទេ......,0
ភ្នែកភ្លឺឃើញខ្វាក់ពិបាកនិយាយគ្នាណាស់,1
អាចុយម្រាយជិះឡានភ្លើ,1
សម្រាយបានល្អ,0
ពួកអានុងឆ្កួតទេបងអត់ដឹងរឿងមកនិយាយ,1
និស្ស័យឲ្យច្បាស់ក្រឡែត,0
បេីញុមចុះសួរហេីយថាក្បាលលោកពូធ្វេីពីអី មិចរឹងយ៉ាងនេះ,1
ឡានខ្មៅរាងមិនសូវៗ,1
មានពូថៅអីគប់អោយបែកកញ្ចក់ម៉ង់,1
ឆ្កែរបើកបរទេដឹង,1
បើសិនមាន Police ជិះល្លាតដូចស្រុកគេមិនដឹងល្អយ៉ាងមិចទេ,0
អាឡានលុចស៊ីសហ្នឹងបើកឈ្លើយណាស់ក៏ធ្លាប់គៀរខ្ញុំដែរចាំផ្លាកលេខច្បាស់ណាស់តែខ្ញុំខ្ជិលបង្ករឿង,0
ចឹងមកបានច្បាស់បងស៊ែល អាឡានថោកទាប  ខ្ញុំក៏ចង់ជេរដែរ,1
នាកណាជេគាត់ខ្លះឆាន់មកស៊ុំទោសពូអាស៊ែលភ្លាម,0
បុកវាទៅបង អាមនុស្សខួរតិចចឹងទុកធ្វើអី,1
ពួកអាបណ្ឌិតខួរលាមក cmt pler,1
បងបងឯងចង់តែសួរមើលហើយតៃកុងឡានហ្នឹងវាកើតអីវាមិនចេះបើកទេដឹងថាមើល,0
រកកន្លែងងាប់ឃើញ តួអច្ឆរិយៈរបស់យើង,1
Ber nh jos vai 1= bat,1
ប៉ះនាក់ចិត្តក្ដៅគេបុកតាំងយូហើយ,0
ផឹកតែក្រូចជ្រួកតោះ,0
អាស៊ែល  ចង់អោយត្រូលពួកចឹងអោយច្រើន កុំអោយអ្នកបើកបរភ្លើៗកើនឡើងពេក ស្អប់មែនពួកអាបើកនៅផ្លូវគន្លងឆ្វេងហើយរុលចូលផ្លូវគេហើយចង់រករឿងគេទៀត។,1
វាជក់ញានមិនខលហៅប៉ូលីសទៅ,0
អាជើងស្ទាយណាស់,0
បើកដូច,0
បង ស៊ែលខឹងហើយលួងគេ,0
បេីកឡានបែបបែកថ្នាំនាក់ឯង មិនទាន់ជួបរបស់ទេ,1
ប្រហែលអាខាងមុខអស់លុយបង់ទំនាគាហើយ,0
សម្រាយចឹងល្អតាសបងញុំមើលជក់ដូចរឿងភាគចឹង,0
ប៉ះឧកញ៉ា សុីណាអីដឹកតែស្ពៃហើយអាប្អូន,0
មុខកាលម៉ែតតេីអាស៊ែល,0
ចុះទៅដាក់ក្បាលវាអោយបែក,1
ចរឹកអន់ៗចឹងមានប៉ុន្មាននាក់ទៀត។,1
មើលខមិនសុទ្ធតែតុលាការ,0
ធ្លាប់ជួបសេរីអាឡានចង់សន្សំរឿងជាន់ហ្វាំងចង់ឱ្យយើងបុកគូទឡានវាអញ្ចឹងតែវាស្មានថាយើងគ្មានកាមេរា ច្រឡំហើយអាក្អូន,0
មើលហើយខ្នាញ់ណាស់,0
ឡានខ្មៅនិងខូចម៉ងហាបើខ្ញំវិញមែនចិត្តព្រះហេ,0
ស្ទាវៗចឹងសមតែទីប,0
បើខ្ញុំបើកបុកហ្មង,1
ច្បាប់ឣេីយច្បាប់,0
មានលុយបុកឡាននឹងកម្តេចចោលម៉ង,1
មកដល់ពេលនេះហើយ អត់មានខាងណាចាប់អ្នកបើកឡាននោះមកសួរនាំទៀត,0
ស្រឡាញ់ពាក្យត្រង់ (មិនដែលកណ្ដូយម៉ែអាណាត្រូវជាន់ប្រាង គេជាន់ប្រាងចឹងទេ),1
អាខ្មៅនឹងបើកឈ្លើយម្មង,0
ឡានក៏មានចិត្តអាក្រក់ និងចិត្តល្អដែរ,0
អ្នកមិនមានពី,0
អានេះសម្យតែបាញ់ចោលតើ,1
អោយតែចឹងគង់មានថ្ងៃគេបាញងាប់ទេ,1
បើកឡានឆ្កែសុទ្ធ,1
ខ្ញុំមានបានជេណា,0
2023ឪ្យវាបង្រៀនបើកបុកគេដង់2024ម៉ែវាបង្រៀន,1
បើបះចំអាស្តរាយើងវិញដឹងតែជាងតោនមានទឹកមាត់លេបបាត់មិនទុកឲ្យសំរាយបានយូឥចឹងទេ,0
ពួកនុងគេហៅថាតុលាកាfacebook,0
គាត់ទើបរៀនបើកចឹងហើយបង,0
លេីកក្រៅដៀលឲរៀងចុកតិចទៅ ញុមកុំយូរ,0
បើកចឹងៗសមតែត្រូវដុំថ្មរបស់ពួកក្មេងៗ ពួកក្មេងដែលចាំគប់ឡានគួរគប់អាឡានឈ្លើយៗចឹង,1
អាពូជថោក,1
កុំតែក្រទេកុំអី ចេវាអាកូនមេ ច ម,1
មានឡានជិះតែអន់ចរិក ចាញ់នាក់គ្មានឡានជិះផង,1
យាយបានពីរស់ណាស់បង,0
ខ្ញុំមកអានខមិនទេ,0
បើករករឿងគេចឹងចុះវ៉ៃក្បាលវាឲបែកទៅ,1
រង់ចាំទស្សានាភាគបន្ត,0
សម្រាយបាន view ច្រើនជាងសម្រាយរឿងគួរសម,0
ទេឪវាដូមិនមែនបើអញ្ចឹងទេ,1
នៅមុខកាល់ម៉ែត្រតើពូ,0
បើខ្ញុំវិញដាក់សិន,0
មកពីអ្នកមិនអត់ចេះច្បាស់,0
សុំសើរសើរម្ចាស់ឡានទប់ចិត្តបាន,0
៣៣៥៥ដូចធ្លាប់ឃើញ,0
ប៉ះឧកញ៉ាជាប់គុកថ្មីៗនេះវិញស្ពៃហើយ,0
ឡានLexusនឹងទាល់តែប៉ះមិត្តភក្ដិខ្ញុំបានរាងដល់ជាតិក្រោយ Tou Nan,0
សសើគាត់អត់ធ្មត់បានល្អណាស់,0
ឆ្កែកអ្នកជិះទេ,1
បើឡានឡប់ៗ,1
សូមអោយថ្ងៃណារមួយ គាត់បានជួបអ្នកមានជំក្រឡង់ផងចុះ,0
អា 3355 ខ្មៅឈ្លើយម៉េះ ?,0
តួរអង្គឯងរបស់យើងខាំធ្មេញសង្គត់ចិត្តមាំណាស់,0
អាហ្នឹងជិតជាប់គុកហើយអាងាប់,1
SB studio ចូលខ្លួន,0
អត់ឃើញមានវិធានការពីនរគបាលសោះ,0
អត់ធ្មត់អី ជេរ គេរហូតនឹង  ជេគេ ហើយបង្ហោះជាសារធាណះទៀត បើម្ខាស់ឡាន GS នុងមានជុំក្រឡង ថ្ងៃក្រោយ មិនដឹងមិចទេ,0
ប៉ះខ្ញុំបុកហែងកំុតិចចោលម៉ងហា,1
អោយប៉ូលីសប្រដៅក្បាលវាចេញម្តងទៅបង,1
នាក់បើកបែបនឹងកាលងាប់អស់,1
ឡានហ្នឹងបង់រំលោះគេអត់លុយបង់ធ្វើអញ្ចឹងទើបបានលុយ,0
បើកបររញ៉េរញ៉ៃណាស់ស្រុកខ្មែរ,0
សសើរឡានតួអង់ឯកចិត្ដធ្ងន់ណាស់,0
ចារឹកមនុស្សថោកចឹងឯង,1
ឡូយបង,0
មានឡានជិៈដែរតែធ្វើថោកណាស់ហា៎,1
ល្អមើលណាស់,0
មានឡានថ្លៃជិះតែចរិតថោករកលេខដាក់គ្មាន,1
បើប៉ះអ្នកផ្សេងផ្ងាជើងលូវហើយអាបើកឌឺចឹង,0
នៅហ្នឹងឥឡូវគេហៅក្តាន់2 មែនមែនបង,0
ឆ្កែបើកតើ,1
បើខ្ញុំបូកបួលចុះវ៉ៃមួយស្មើ,1
ល្អសើចណាស់,0
រឿងនិទាន,0
ឆាបលុបវីដេអូនិងភ្លៀមបើអត់ចងមានបញ្ហា,1
ចង់ឃើញមុខអាអ្នកបើកឡានហ្នឹង,1
ដៀលអេមបង,0
ហៅវីទៅផឹកកាហេ្វទៅ,0
អាអ្នកបើកឡាននឹងប្រហែលវាមានជុំក៏ឡង់ហើយបានវាចង់អោយគេបុក,0
ខ្ញុំដាក់សំដៅលេីអ្នកខមិនជេរគេតាមគ្នា,0
គ្នាវាទេនាក់ជួយការពារ,0
ចេះសម្រាយពិរោះហេីយកំម្លែងទៀត,0
មកពីគាត់មាន(ព.ម)ក្បាល់៩ទើបគាត់បើកឡានដូចព្រាយក្បាល៩ដែរចឹងដែរ,1
ចះុដាក់ក្បាលវាអោយបែកក្បាលទៅបើឡប់ៗចឹង,1
ការសម្រាយពិតជាមានអត្ថន័យណាស់,0
នៅមុខកាល់ម៉ែត្រសោះ,0
ខ្ញុំធ្លាប់ ជួប ឡាននិងបើកធ្វើ ស៊ីម្ដងដែល,0
បេីកឡានដូចកន្ដួយម៉ែវាចឹងអាឡាន Gs,1
អគ្គស្នងការដ្ឋាននគរបាលជាតិ- General Commissariat of National Police មើលៗផងពូ បើមិនចាត់ការទេ ខ្ញុំអស់ពាក្យនឹងថ្លែងហើយ រកមុខមិនឃើញបានចម្លែក,0
អាថោក,1
អាលប់មើលគ្រូអត់ជា,1
ឡានដូចគ្នា មិនហាន ថត រក អាចម៏ អី ចងបានគេថាយើងល្អមែន,1
អាពូកចឹងសមតែឲប៉ូលីសពិន័យម្តង,0
បេីឡានដូចអាច់,1
សម្រាយអីចឹងល្អមើលនិងពីរោះស្តាប់ផងក្មួយ,0
បើកឡានឆ្កួតចឹងបើកធ្វើអីមា៉អាចុយម្រាយ,1
ខ្ញុំថាមិនចង់ទេតែអាអ្នកបើកនិងសុំតែជេវាថាកាដួយម៉ែអាថោកតើតែខ្ញុំវាមិនហ៊ានខ្លាចអត់លុយបង់ហើយផ្តាំទៅអ្នកខមិនមួយចំនួនមុននិងជេអ្នកសម្រាយនិងត្រូវមើលវិដេអូអោយចប់សិនហើយពិចារណាសិនថាគាត់ថាខុសឬត្រូវសូមអគុណ,1
ប៉ះបងម្ចាស់ឡាននឹងទេប៉ះញុមអោយស្ពៃហេីយ,0
អាឡាននិងមានរឿងមួយគេច្រើនណាសបង,0
យើងខ្មែរដូចគ្នាទេបង,0
បើឡានបិនផ្លើអាផ្លើ,1
ខូចម្ល៉េះអានរះវើយ,0
អ្នកបើកខ្លះស៊ីផ្លេគេដែរគេវ៉ាបន្តិចបន្តួច,0
ផ្លូវពេទ្យកាល់ម៉ែតសោះ,0
ក្នុងខួរក្បាលសុទ្ធតែអាចម៍ទេមុននឹងខំមិនអត់ចេះគិត,1
ចាប់បានញាត់គុកទៅ,0
បាញ់ចោលទៅនិយាយច្រើនធ្វើអី?,1
ឆ្កែបើកទ្វានតើ,1
មានឡានល្អបើកតែចរិកអន់,1
និយាយបានល្អណាស់,0
អ្នកបើកនឹងប្រហែអត់ដែលចូលសាលាតេ,0
ឆ្កែបើកទេបង អានឹងគេថាឡានថ្លៃតែអ្នកបើកនឹងឆ្កែ,1
Gs ឆ្កែអ្នកបើក,1
ធ្លាប់ជួបហើយតែខ្ជិលមានរឿង,0
សន្តានឆ្កែ,1
បើកម៉ែអាចុយម៉ាយអីចឹង,1
ឡាននោះវាចង់បង្ករឿងទេ,0
ចាញ់ឈ្នះទៅដល់ផ្ទះវិញនៅតែជាមនុស្សធម្មតាមិនមែនឈ្នះបានជីវិតអមតៈផងប្រឹងម្លេស,0
ចាប់ទៅ,0
ហាវវាអាថោក,1
សាក់វាធំចឹងហើយចង់បង្កររឿង,0
សំណាងហើយតាសុីណាជាប់គុកបាត់,0
បងចុះឥឡូវម៉េចហើយ?,0
បងប៉ូលិសអត់ធ្វើការមែនបងបានវាបើឈ្លើយយ៉ាងនេៈ,0
ទំនេរ​ណាស់អាទំនេរ,0
មកពីអ្នកខំមិនហ្នឹងអត់ចេះយកឃោរមកគិតទើបខំមិនផ្ដេសផ្ដាស,0
សរសើរគ្រូបង្រៀនបើកបរ,0
ចុះទះកំភ្លៀងវាទៅ,1
បើកចឹងៗអីគង់មានង៉ៃជិះឡាននាគទេ គ្រាន់តែមិនទាន់ដល់ពេល  គង់តែប៉ះរបស់ពិតទេ,0
អ្នកខមិនអត់ខួរ,1
ចង់អោយខមិនម៉េចវិញ លោកអ្នកសម្រាយ?,0
មានហ្គេមកំសាន្តជាច្រើនប្រភេទ,0
បងម្ចាស់ឡានចិត្តធ្ងន់! បើខ្ញុំជាបងវិញ រកកន្លែងចូលចត៥នាទី សិនហើយ។ មនុស្សធុនបង្ករឿងបែបនេះ វាមិនងាយនឹងឈប់សកម្មភាពរករឿងទេ។,0
ស្តាប់សម្តីដូចឈឺ សង្ស័យគេជេរច្រើនហើយ,0
ឈឺអត់,0
អាឡានGS300 វាបើកបរ ខូច ហើយវាចង់ បង្ករឿង យីអានេះ,0
Ella Rykaa សើចគាំង,0
ប៉ះនាក់ស្លូតទេអាពៅ,0
មែនណឹង,0
អានេះឆ្គួតប៉ះអ្នកស្លូតបើប៉ះអ្នកកាចវិញឲ្យសេរ៉ូ,1
អូនទើបរៀនបើកទេ,0
ស្អប់មែនពួកអាបើកនៅផ្លូវគន្លងឆ្វេងហើយរុលចូលផ្លូវគេហើយចង់រករឿងគេទៀត,0
ហត់ណាស់,0
ខ្ញុំក្រណាស់គ្មានលទ្ធភាពជេរទេ,0
គឲខ្លាចណាស់បងឡើយ,0
ស្នងការដ្ឋាននគរបាលរាជធានីភ្នំពេញ ជួយពិនិត្យមើលផង,0
ញុមចង់ជេរវាថាah plerតែញុមអត់ចេះខមិន,1
ក្នុងឡានគួតែមានកាំភ្លើងមួយដើម,0
គេអាងជុំក្រឡង់,0
ឡានមើលទៅថ្លៃ តែអ្នកបើកវិញ ថោកជាង ach,1
សង្ស័យ​ណាស់,0
សមតែកំភ្លៀង,0
មានលុយទិញឡាន តែអត់មានលុយរៀនសូត្យ,0
អនុគ្រោះបានអនុគ្រោះទៅខ្មែរដូចគ្នាទេ,0
តួអង្គឯក,0
ញុមចុះវ៉ៃហើយ,0
